UID,iso2,iso3,code3,FIPS,Admin2,Combined_Key
16,AS,ASM,16,60.0,,"American Samoa, US"
316,GU,GUM,316,66.0,,"Guam, US"
580,MP,MNP,580,69.0,,"Northern Mariana Islands, US"
630,PR,PRI,630,72.0,,"Puerto Rico, US"
850,VI,VIR,850,78.0,,"Virgin Islands, US"
84001001,US,USA,840,1001.0,Autauga,"Autauga, Alabama, US"
84001003,US,USA,840,1003.0,Baldwin,"Baldwin, Alabama, US"
84001005,US,USA,840,1005.0,Barbour,"Barbour, Alabama, US"
84001007,US,USA,840,1007.0,Bibb,"Bibb, Alabama, US"
84001009,US,USA,840,1009.0,Blount,"Blount, Alabama, US"
84001011,US,USA,840,1011.0,Bullock,"Bullock, Alabama, US"
84001013,US,USA,840,1013.0,Butler,"Butler, Alabama, US"
84001015,US,USA,840,1015.0,Calhoun,"Calhoun, Alabama, US"
84001017,US,USA,840,1017.0,Chambers,"Chambers, Alabama, US"
84001019,US,USA,840,1019.0,Cherokee,"Cherokee, Alabama, US"
84001021,US,USA,840,1021.0,Chilton,"Chilton, Alabama, US"
84001023,US,USA,840,1023.0,Choctaw,"Choctaw, Alabama, US"
84001025,US,USA,840,1025.0,Clarke,"Clarke, Alabama, US"
84001027,US,USA,840,1027.0,Clay,"Clay, Alabama, US"
84001029,US,USA,840,1029.0,Cleburne,"Cleburne, Alabama, US"
84001031,US,USA,840,1031.0,Coffee,"Coffee, Alabama, US"
84001033,US,USA,840,1033.0,Colbert,"Colbert, Alabama, US"
84001035,US,USA,840,1035.0,Conecuh,"Conecuh, Alabama, US"
84001037,US,USA,840,1037.0,Coosa,"Coosa, Alabama, US"
84001039,US,USA,840,1039.0,Covington,"Covington, Alabama, US"
84001041,US,USA,840,1041.0,Crenshaw,"Crenshaw, Alabama, US"
84001043,US,USA,840,1043.0,Cullman,"Cullman, Alabama, US"
84001045,US,USA,840,1045.0,Dale,"Dale, Alabama, US"
84001047,US,USA,840,1047.0,Dallas,"Dallas, Alabama, US"
84001049,US,USA,840,1049.0,DeKalb,"DeKalb, Alabama, US"
84001051,US,USA,840,1051.0,Elmore,"Elmore, Alabama, US"
84001053,US,USA,840,1053.0,Escambia,"Escambia, Alabama, US"
84001055,US,USA,840,1055.0,Etowah,"Etowah, Alabama, US"
84001057,US,USA,840,1057.0,Fayette,"Fayette, Alabama, US"
84001059,US,USA,840,1059.0,Franklin,"Franklin, Alabama, US"
84001061,US,USA,840,1061.0,Geneva,"Geneva, Alabama, US"
84001063,US,USA,840,1063.0,Greene,"Greene, Alabama, US"
84001065,US,USA,840,1065.0,Hale,"Hale, Alabama, US"
84001067,US,USA,840,1067.0,Henry,"Henry, Alabama, US"
84001069,US,USA,840,1069.0,Houston,"Houston, Alabama, US"
84001071,US,USA,840,1071.0,Jackson,"Jackson, Alabama, US"
